kalimat;tag_bipolar;tag_depresi;tag_insomnia;tag_kecemasan;tag_skizofrenia
kenapa saya setiap melakukan sesuatu seperti ada yang bisikin melakukan hal yang berbahaya contohnya kalo saya lagi menunggu kereta ada pikiran untuk meloncat saat kereta mendekat atau saat saya pegang pisau untuk masak ada pikiran tusuk anak saya itu kenapa ya kadang saya tahan itu sampai harus fokus sampai rasa pengin nya itu;0;0;0;0;1
kenapa ya aku selalu merasa kesepian mood yang berubah ubah napsu makin berkurang dan pola tidur nya makin enggak nentu aku cerita sama salah satu teman aku dan dia bilang mungkin aku depresi atau semacamnya apa itu benar;1;0;0;0;0
mau bertanya saya seorang penderita skizofrenia dengan halusinasi pendengaran lah saya belakangan ini sering tertawa sendiri kira kira kenala ya;0;0;0;0;1
mau tanya lagi nihsaya kadang suka heran sama diri saya sendiri karena suka mengomong sendirian kadang kalo merasa sudah benar benar sepi sekali apa yang ada dipikiran saya saya mengeluarkan sendirian dengan berbicara sendiri serasa ada dunia sendiri saat saya bicara sendiribahkan saya sangat lama dikamar mandi karena saya merasa dikamar mandi saya bisa lebih tenang walaupun saya hanya cuci muka saja itu mengundang waktu yang cukup lama anehnya saat sendirian saya sangat riang bernyanyi dll tapi saat berkumpul saya merasa takut saya merasa seperti saya tidak diperhatikan itu kenapa ya;1;0;0;0;0
mau tanya kalau saya bergadang misalnya tidur jam 3 pagi lalu dapat jam tidur secukup nya itu terhitung tidak sehat atau sehat sehat saja jadi contoh nya tidur jam 3 pagi lalu bangun jam 1 siang apakah itu tidak apa;0;0;1;0;0
mau tanya bagaimana mengatasi insomnia pada ibu hamil dan ingin berpuasa pada ramadhan;0;0;1;0;0
mau tanya cara berhenti ini teman saya agar enggak self harm lagi bagaimana teman saya sring depresi masalah keluarga di rumah teman saya ini sayat tangannya minum enggak jelas minum obat nyamuk di blender minum pembersih kaca tolong saya mau bantu tapi takut di marahin keluarga;0;1;0;0;0
mau tanya soal skizofrenia ini istri saya mengalami tanda tanda yang sama dengan tanda tanda penyakit skizofrenia tapi ada satu tanda tanda yang tidak sesuai soal kebersihan dirinya sendiri dia sangat menyukai kebersihan apakah itu berarti ia juga terkena;0;0;0;0;1
mau tanya saya sakit lambung sudah 4 bulan dan mengalami sulit tidur apakah sakit lambung memberi efek sulit tidur atau karena efek samping dari obat lambung obat lambung yang saya minum terdiri dari omeprazol dompridone braxidin dan;0;0;1;0;0
mau ya saya suka merasa cemas keringat dingin badan gemetar jantung berdebar merasa gugup jika berbicara pada saat saya berbicara dan dilihat banyak orang saya selalu berpikir kalau mereka risih terhadap saya lalusaya juga merasa seperti tidak dipedulikan dan pasti mereka akan membicarakan saya dibelakang setiap saya merasa orang orang risih terhadap saya saya selalu mencari perhatian bahkan sampai dengan menggores tangan saya supaya diperhatikan saya juga selalu memperhatikan penampilan saya seperti jika saya memakai baju itu saya akan dijauhi jika saya membiarkan rambut saya panjang saya akan dikucilkan dan saya juga merasa sedang di awasi seseorang saya juga sulit mengendalikan emosi bahkan setiap saya di kritik orang saya selalu merasa kesal dan marah besar lalu berpikir bahwa semua orang akan tidak suka dengan saya atas kritik itu jika saya marah dengan ibu saya saya berusaha menahan itu dengan mengunci diri di kamar dan merasa cemas hingga menggigit kuku saya mencabut bibir kulit dan menangis karena saya selalu merasa seolah ibu saya tidak menyayangi bagaimana ya;0;1;0;0;0
nama saya eka umur saya 17thn sudah lama sekali saya sering melakukan self injury kalo saya ada masalah atau emosi setiap goresan itu memiliki ketenangan bagi saya setiap darah yang keluar punya nikmat tersendiri bagi saya setiap malam saya selalu menangis apalagi mengingat masa lalu masa lalu yang membuat saya sakit kepala saat tiba memikirkannya saya merasa lelah sekarang perasaan saya saya ingin menyerah sekarang juga saya sudah tidak kuat dengan semua beban pernah beberapa kali saya mau melakukan bunuh diri saya harus apa semua kehidupan saya;0;1;0;0;0
nama saya yunita umur 17 tahun saya merasa menjadi orang yang tidak berguna selalu cemas akan hal yang saya pun tidak tau saya selalu berpikiran tentang hal hal yang negatif terhadap apapun sering merasa kesepian padahal banyak orang disekitar saya saya sering berbohong untuk menyenangkan perasaan orang lain dan yang paling sering ketika perasaan saya sedih dan terluka saya merasa ingin melakukan bunuh diri tapi selalu masih bisa saya kendalikan bagaimana saya menangani diri saya sendiri apakah bisa sembuh dan apa saya termasuk orang depresi;0;1;0;0;0
pengin tanya ini ibu saya dia tidak tidur selama 4 hari dia sudah berobat kedokter dan kata dokter kesehatanyaa baik darah ya normal dan itu sudah dikasih obat tidur juga tidak ada reaksi bagaimana cara ya supaya ibu saya bisa tidur saya sedih melihatnyaa;0;0;1;0;0
perkenalkan nama saya selviana saya kelas 3 sama saya ingin tanya mengapa suasana hati saya selalu berubah ubah kadang saya senang sekali kadang saya sangat sedih dan sangat menyesal saya juga berpikir untuk bunuh diri tanpa rasa takut sama sekali saya menganggap teman teman saya tidak ada yang tulus semuanya munafik dihari saya juga timbul rasa dendam benci dan dengki terhadap seseorang bagaimana ini;1;0;0;0;0
perkenalkan saya oktha saya mempunyai kakak berumur 28 tahun dia sakit sakitan sakitnya itu seperti orang depresi suka melamun lalu pendengarannya juga kurang jadi kalo bicara dengannya harus keras dan suka lambat ketika ditanya kepala nya sakit ketika malam hari dan ketika dia siang hari dia terkena panas matanya langsung merah telinganya mendengung kira kira itu gejala penyakit apa iya mohon pencerahannya;0;1;0;0;0
saya alief sudah dari lama saya sering kali berbicara sama diri sendiri entah itu beradu argument atau hanya sekedar cerita saya seperti itu setiap kali pada saat sendiri melamun dan sebelum tidur sebenarnya itu tidak terlalu mengganggu tapi ada beberapa ketika itu mengganggu konsentrasi saya contohnya pada saat mendengar kan guru yang sedang menerangi pelajaran teruntuk masalah mood saya ada beberapa waktu mood saya tiba tiba hancur emosi tiba tiba meluap namun syukur saya masih bisa mengontrol emosi;0;0;0;0;1
saya candra ingin bertanya jadi ibu saya sudah 1 bulan ini tidak bisa tidur tetapi kondisinya mengantuk dan ibu juga mengeluh karena keluar keringat secara berlebihan kira kira kondisi ini menandakan apa ya mohon penjelasannya terima;0;0;1;0;0
saya nurapryan umur saya 17thn saya di diagnosis trkena terkena bipolar yang saya mau tanyakan bagaimana mengatasinya apa bipolar itu bisa;1;0;0;0;0
saya ada keluhan hidup saya kurang sehat fisik maupun mental saya merasa jika minum obat psikter itu hidup saya normal saya sering ribut dengan istri dan sering juga istri mengatakan saya gila seblmnya saya sudah minum obat psiktr dinyatakn telah selesai tapi merasa tidak enakan lagi saya merasa aneh saja dengan pikiran ini apakah saya;0;0;0;0;1
saya adi saya mau bertanya ini kondisi ayah saya sudah tidak mau makan selama 3 bulan awal nya beliau kehilangan pekerjaan kaena pandemi setelah itu beliau mulai mururng dan kehilangan selera makan dan tidak mau untuk keluar rumah sampai saat ini sudah 3 bulan sejak beliau di rumah saja makan yang di konsumsi 1 hari hanya 3 sendok makan saja dan minum seteguk air sekarang berat badan nya sudah tinggal 38 kg dari awal nya 65kg kondisi semakin buruk karena beliau sudah tidak mau jalan dan bangun bibirnya mengalami jamur berwarna putih dan hanya tidur terus apa yang harus saya lakukan untuk menyembuhkan ayah;0;1;0;0;0
saya berumur 19thn saya sering mengalami perubahan suasana hati secara drastis dan kadang jika saya terlalu menghayati sebuah lagu atau adegan saya merasa itu yang sedang saya rasakan contohnya saya menghayati lagu yang mengandung unsur amarah saya akan benar benar akan merasa sangat marah pada saat itu juga dan daya khayal saya tinggi bahkan saya seperti memiliki 2 kepribadian tomboy dan feminim itu terjadi bergantian bagai mana kondisi sekitar yang mengharuskan saya bersikap tomboy atau feminim mohon di jawab;1;0;0;0;0
saya berusia 26 tahun 4 tahun yang lalu saya mengidap depresi dari tingkat rendah sampai berat sampai ketahap klinis 1 tahun terakhir saya merasa baik baik saja tapi kadang saya merasa tidak demikian pertanyaan saya apakah depresi klinis bisa sembuh begitu saja tanpa perawatan sama;0;1;0;0;0
saya cewek umur 25 sudah menikahketika seseorang sering disalahkan disudutkan sampai mengalami kekerasan fisik dan non fisik dan menyalahkan diri sendiri merasa dan tidak dihargai tidak nafsu makan badan selalu terasa lesu dan tidak brsmngt mudah menangis dan berfikiran untuk bunuh diri apakah ini termasuk;0;1;0;0;0
saya dari kecil sering melihat pertengkaran orangtua saya awal mulanya mereka bertengkar hanya adu mulut lama kelamaan mereka bakal melakukan kekerasan terhadap fisik seiring berjalannya waktu saya semakin dewasa dan menginjak usia 17 dimana saya takut untuk mendekati lawan jenis dikarenakan ayah saya dan saat melihat orang tua saya bertengkar adu mulut disitu saya merasa ada tekanan kuat didalam diri saya untuk memberontak tetapi saya malah memilih untuk menyakiti diri saya sendiri seperti saya selalu meminum obat obatan segala jenis obat dan saya merasa tenang jika tidak saya akan menangis disudut tembok menutup kedua telinga saya dan kemudian saya tidak berani untuk berinteraksi terhadap siapapun karena di diri saya takut jika semua orang menyakiti saya dan seiring berjalannya waktu saya merasa tekanan tersebut menjadi kuat saya merasa selalu bersalah dalam segala hal tidak bisa melakjkan apapun dan selalu menyalahkan diri sendiri perubahan mood saya selalu berubah tiap waktu tapi lebih sering ke perasaan sedih dan juga saya selalu berniat untuk mengakhiri diri saya atau melukai dan seterusnya saya selalu merasa untuk takut berinteraksi sama orang dikarena kan saya takut mereka menyakiti saya dan juga saya saat orangtua saya adu mulut saya juga merasa bersalah dan tidak berguna dan berpikir untuk melukai diri saya;0;1;0;0;0
saya ingin berkonsultasi mengenai kepribadian saya sejak tahun 2016 hidup saya berubah drastis sampai pada tahun 2018 saya mencoba memulai hidup baru lagi dan memulai semuanya dari nol lagi dan tahun 2019 saya kembali seperti tahun 2017 bahkan lebih saya menjadi seseorang yang lebih tempramen dirumah tapi lemah diluar mood saya cepat berubah bahkan dalam hitungan detik saja yang tadinya saya yang tertawa paling kencang seketika marah atau sedih yang berlarut saya pernah mencoba bunuh diri dengan meminum obat dengan dosis tinggi dan saya juga pernah mencekik diri saya sendiri membentur kan kepala menjambak rambut sampai rontok dan menyayat lengan saya sendiri kadang saya merasa bingung dengan apa yang saya lakukan kadang saya tertawa menertawakan apa yang saya lakukan yang saya ingin tanyakan apa gejala saya termasuk depresi;1;0;0;0;0
saya ingin bertanya saya hampir 2 tahun lebih ini saya mengalami perubahan seperti lebih suka mengurung diri dikamar suka menangis secara tiba tiba merasa bersalah terhadap diri sendiri saya merasa tidak berharga saya juga memiliki rasa takut dan khawatir yang berlebihan mudah tersinggung terutama ketika orang tua saya membahas kegiatan kuliah saya dan membandingkan saya dengan anak temannya yang sukses kuliah di luar negeri terkadang cara membandingkan saya dengan gaya bicara seperti orang marah terhadap saya saya juga mudah tertekan ketika orang tua saya memaksa saya untuk mengikuti kemauan mereka saya juga sering berpikiran tidak tenang untuk masa depan saya akibat saya harus mengikuti kemauan orang tua saya seperti saya harus masuk kuliah di jurusan hukum akan tetapi bakat saya sama sekali tidak ada di situ bakat saya di kesenian akan tetapi orang tua saya memaksa saya untuk berhenti melakukan semua bakat yang saya punya dan harus lebih fokus di hukum dan itu membuat saya capek terhadap diri saya sendiri dan ingin melakukan self injury dan terkadang bunuh diri saya juga merasa tertarik tentang topik yang membahas tentang bunuh diri atau self injury saya juga sangat merasa takut untuk memberi tahu mereka jika nilai saya tidak sesuai dengan ekspektasi mereka nafsu makan saya pun berubah ubah kadang meningkat kadang menurut saya juga sering melamun dan tidak fokus terkadang saya juga merasakan sakit kepala emosi tidak terkontrol dan tidur selalu diatas jam 12 malam kira kira ada apa ya dengan mental saya apakah keadaan mental saya sehat sehat saja terimakasih;0;1;0;0;0
saya ingin bertanya apakah saya ketergantungan saya sudah sebulan lebih mengonsumsi obat antidepresan jadi kalau tidak minum obat tidak bisa tidur keluhan sebelumnya sama tidak bisa tidur juga setelah konsultasi dan diberi resep obat dari dokter psikiater baru saya bisa lebih sedikit tenang dan bisa;0;0;1;0;0
saya ingin bertanya saya akhir akhir ini kebanyakan masturbasi dan gara gara kebanyakan masturbasi itulah saya insomnia apakah benar masturbasi bisa menyebabkan insomnia sudah seminggu lebih saya insomnia akibat masturbasi yang berlebihan terima kasih;0;0;1;0;0
saya ingin bertanya jadi saya memiliki kepribadian baik ramah dan menyenyangkan namun ketika saya sedang capek atau terlalu ambisius mengerjakan tugas hingga larut pagi membuat saya jadi tiba emosional hancur dan tiba galau sendiri padahal yang di galau ini pun enggak ada semua orang di sekitar saya jadi kena pelampiasan marah saya namun dengan beberapa waktu dengan saya menenangkan diri tiba saya kembali dan keadaan saya sebelumnya dan saya enggak sadar kalo saya semarah itu sebelumnya kenapa ya;1;0;0;0;0
saya ini tiap hari sering gantuk bagaimana ya apakah ada kelainan dalam tubuh;0;0;1;0;0
saya jasmine mau tanya kenapa saya selalu bermasalah dengan perasaan yang kadang bergantinya sangat drastis contoh sekarang saya sedang biasa saja nanti beberapa jam kemudian saya merasa sedih tapi saya enggak tau kenapa penyebab sedih saya ini apa saya butuh ke psikolog atau psikiater dan saya memang selalu merasa tertekan dengan keadaan dirumah trimakasih;1;0;0;0;0
saya masih berusia 19 tahunsaya sudah 3 kali berobat ke dokter psiaktrisdan saya di menyatakan sakit depresi dan gangguan kecemasan rencana nya saya akan kuliah tahun ini apakah orang yang punya gangguan kejiwaan seperti saya bisa kuliah jujur saya khawatir akan menyakiti diri;0;1;0;0;0
saya mau bertanya kakak saya sudah hampir satu bulan ini mengalami halusinasi yang membuat dia membayangkan hal yang tidak nyata dan juga terkadang membayangkan hal yang membuat dia tertekan seperti setelah dia di ajak berobat setelah pulang dia pasti membayangkan dan memperaktekan hal yang dia lakukan di tempat pengobatan juga gangguan kecemasan sering merasakan seolah olah bahwa ada orang yang mau mencelakai nya dan kadang membayangkan bahwa keluarga nya mau meninggalkan nya suara bisikan sering mendengar bisikan bisikan baik itu dari hayalan nya sendiri mau pun suara dari keluarga dan gangguan emosional sering marah tanpa sebab kadang juga sedih dan kadang juga cemas sebenarnya penyakit apa yang sekarang di derita oleh kakak saya mohon penjelasan nya agar kami bisa tau dan melakukan perawatan yang sesuai dengan penyakit yang di derita oleh kakak saya terimakasih sebelumnya;1;0;0;0;1
saya mau bertanya nih bagaimana ya tanda awal mengenali adanya gangguan;1;0;0;0;0
saya mau bertanya obat tidur yang baik di komsumsi bagi kesehatan apa ya dan hanya untuk tidur beberapa jam saja saya punya pengalaman setelah minum obat memang sih biasanya langsung tidur contoh saya tidur jam 6 malam itu setelah minum obat kemudian tidurnya sampai pagi tetapi setelah keesokan harinya saya jadi susah tidur lagi itu bagaimana ya;0;0;1;0;0
saya mau bertanya saya memiliki tetangga dan tertangga itu suka marah marah tiba suka menyerang orang lain berbicara sendiri dan tertawa sendiri itu termasuk ke halusinasi apa skizofrenia kalau termasuk halusinasi halusinasi apa dan kalau termasuk ke skizofrenia skizofrenia apa mohon jawab ya penting;0;0;0;0;1
saya mau bertanya terkait psikologis dan kesehatan ada beberapa pertanyaan yang ingin saya tanyakan yang pertama saya punya semangat hidup dan sering berpikir positif apapun itu saya berusaha berpikir positif tetapi ada waktu dimana saya begitu stres karena masalah yang menumpuk dan disaat itu emosi saya tidak terkendali bahkan saya kadang memukul diri saya sendiri hingga saya punya pemikiran untuk bunuh diri dulu waktu saya sama saya pernah hampir mau bunuh diri saya mau bertanya bagaimana cara saya untuk mengobati ataupun menahan emosi saya saya takut jika suatu saat orang tua saya tidak ada emosi saya tidak terkontrol karena sekarang saya masih bertahan karena orang tua saya yang kedua untuk saat ini hal ini jarang saya rasakan tetapi waktu sampai saya sering merasakan saya tidak tau ini penyakit atau apa jadi saya sadar saya berada di suatu tempat tetapi tiba tiba saya seperti sadar lagi dan sering membuat saya berpikir ini saya berada disini benerankan saya ada ditempat ini benerankan dan jujur itu menakutkan saya takut kelakuan saya tidak terkendali kalau saya tidak menyadarkan diri kalau saya memang di tempat itu itu kenapa ya yang ketiga ini saya rasakan lagi pas awal pandemi sebelumnya saya pernah rasakan waktu kecil jadi saya merasa sesak saat mau tidur saya enggak tau penyebabnya hal ini ngebuat saya takut tidur takut saya enggak bisa bernafas sehingga tiap mau tidur saya gosok hidung dan tenggorokan pakai freshcare atau semacamnya tapi kalau bangun itu rasanya nafasnya lega tapi lama kelamaan bakal kambuh lagi sesaknya padahal bisa bernafas biasa tapi kayak enggak nyaman kayak kurang lega kakak saya menyarankan buat olahraga tapi tetap sama saja itu kenapa ya dan terakhir saya kalau kelelahan terus duduk dalam waktu lama perut saya sakit dan punggung saya sakit saya tidak tau apa ini gejala mag atau bukan karena kalau mag kalau saya telat makan dan saya tidak kelelahan saya tidak mengalami sakit itu apakah benar ini gejala mag atau bukan ya terimakasih dan maaf kalau pertanyaan saya banyak;1;0;0;0;0
saya mau bertanya kenapa saya selalu tidur hanya 4 jam padahal saya sudah berolahraga secara rutin apa saya perlu konsumsi obat tidur saya dulu sempat mencoba mengkonsumsi valdros tapi tetap tidak ada hasil terima kasih;0;0;1;0;0
saya mau bertanya yang pertama kenapa ya terkadang saya kalau berbicara apa yang mau saya katakan malah yang saya ucapkan apa yang ada dipikiran saya padahal saya tidak ingin mengucapkan itu contohnya saya mau bilang apa kabar tapi di pikiran saya sedang berpikir kamua dari mana nah yang saya ucapkan malah yang kamu dari mana kenapa ya yang ke dua syaa mau bertanya kenapa saya sering mendengar mendengar hal-hal yang tak jelas padahal itu tak ada seperti kadng mendengar suara mengaji padahal tidak ada suar aadzan padahal tidak ada dan suara2 tak jelas entah itu apa padahal sebenarnya tak ada suara saya pikir itu halusinasi tetapi itu sering terjadi kenapa ya mohon penjelasannya;0;1;0;0;1
saya mau tanya saya kadang bingung dengan saya sendiri kadang saya orangnya ceria kadang penyendirikadang posesif kadang pengertian jadi saya kadang bingung saya itu knapa begitu oh ya kadang juga saya sering kalo melakukan apa begitu merasa kayak pernah melakukan itu padahal baru pertama kali begitu kadang juga pas saya lagi senang begitu terus entah teringat sesuatu terus saya tiba tiba sedih terus menangis tapi entah knapa begitu enggak tau apa sebabnya ibu saya juga katanya bingung dengan saya orang terdekat saya juga merasakan hal yang sama dan saya juga sering kayak ingin melukai diri sendiri dan orang lain begitu kadang pas saya lagi sendiri saya ngambil pisau dan pengin robek tangan sendiri terus aku juga suka pengin bunuh seseorang begitu pas adek aku lagi tidur kadang aku terbesit niat pengin cekik dia sampai mati dan pengin bunuh seseorang lah begitu tapi aku enggak tau knapa plese jawab ya aku takut aku sampai lukai orang lain bahkan sampai dari sendiri soalnya waktu itu aku pernah tanpa disadari tuh nyekik leher sendiri pakai tali begitu jadi aku takut saja kalo aku punya gangguan mental soalnya aku kadang bingung dengan siapa diri aku yang sbenarnya karena aku merasa aku bukan kayak aku yang sebenarnya begitu oke segitu saja terima kasih deh mau bagi waktu nya untuk menjawab curhatan ku maaf kalo bahasaku kurang sopan sekali lahi terima;1;0;0;0;0
saya mau tanya saya sudah sering banget ngalamin ini saya tidur tetapi saya menangis bahkan saat saya sadar juga tetap menangis dan rasanya sedihhhh banget tapi enggak tau karena apa saya searching digoogle katanya itu sedih karena kehilangan anggota keluarga orang yang kita sayang tapi saat ini saya tidak mengalami itu kalau saya sudah sadar saya menangis itu rasanya lebih sedih dari apapun tambah menangis itu kenapa ya cara menghilangkan nya bagaimana karena sudah sering sekali kejadian seperti itu terima;0;1;0;0;0
saya mau nanyaaa kemarin saya habis dari dokter karena lambung saya dikasih obat xepazym tab sesudah makan dan neciblok sebelum makan tapi kenapa ya pas malam nya saya enggak bisa tidur karena dada saya sakit kayak di teken begitu ditambah kepalaa sakit banget apa itu reaksi dari obat nya atau bagaimana infonya;0;0;1;0;0
saya mau tanya kenapa ini saya kalo tidur hanya beberala jam dan setiap malam terbangun lalu menunggu pagi lagi baru bisa tidur ya dan saya suka merasakan nyeri di dada kiri sampai belakang;0;0;1;0;0
saya mau tanya knapa ya selama beberapa hari terakhir saya mengalami insomnia apa penyebabnya apa karena saya terlalu banyak pikiran atau karena efek obat yang sedang saya konsumsi yaitu ofloxacin dan suclarfate suspensi terus dada bagian tengah tepatnya ditengah-tengah payudara dan punggung saya terasa seperti ditusuk tusuk setelah mengkonsumsi obat tersebut mohon jawabannya;0;0;1;0;0
saya mau tanya lagi kakak saya terkadang punya pikiran aneh seperti halnya tadi pagi dia bercerita semalam ia berjanji kepada dirinya sendiri janjinya itu begini kakak saya bangun lebih dari jam 9 pagi maka ia akan memukuli dirinya sendiri sampai ia merasa kesakitan dan meminta dan beruntungnya kakak saya bangun pada jam 9 kurang pagi tadi alhasil kutukan memukuli dirinya sendiri itu tidak ia lakukan yang lebih ekstrim dia juga pernah buat taruhan yang melibatkan nyawa seseorang ancaman itu adalah ancaman dirinya sendiri untuk membunuh orang yang menjadi target taruhannya dia juga sering mengecek kulkas bolak balik dalam beberapa waktu padahal keadaan kulkas masih sama saja enggak ada yang berubah kira kira ini penyakit bukan jika penyakit namanya apa dan penanganan nya seperti apa terima;0;0;0;0;1
saya mau tanya mata saya sebelah kiri tiba tiba bukan tiba-tiba juga sih kebetulan enggak sengaja lihat pas mengaca muncul lingkaran bewarna coklat tua tapi hanya dibagian bawah biji mata saya bewarna hitam jadi hanya bisa dilihat jelas ditempat terang atau tempat yang tersinari matahari baru kelihatan lingkaran dibawah mata latar belakang sih saya ini insomnia berat bahkan sangking parahnya saya tidur diatas jam 11 siang dan kadang juga susah tidur sekitar jam segitu terus saya juga perokok dan setiap malam itu bergadang selama 3 tahun full didepan laptop 8 12 cuma penasaran saja apakah ini ada pengaruh dari apa yang saya lakukan selama 3 tahun ini dan apakah berbahaya bintik coklat ini atau akan berefek diwaktu yang akan;0;0;1;0;0
saya mau tanya setiap saya punya masalah saya selalu sangat memikirkan masalah tersebut hingga membebani pikiran saya dan mengakibatkan emosi yang tidak terkontrol dan meledak ledak dan pernah bermasalah dengan istri saya lalu ada terlintas dipikiran saya untuk melakukan hal yang tidak baik ke anak saya yang masih balita tapi saya mengalihkan nya dengan melukai kaki saya dengan parang akhirnya saya pergi dari rumah agar saya tidak sampai melakukan hal-hal yang tidak baik apakah saya mengidap skizofrenia atau memang saya yang mempunyai gangguan mental kalo benar saya harus bagaimana untuk;1;0;0;0;0
saya mau tanya jadi beberapa waktu yll saya mengobrol sama teman kuliah saya dan mendapati bahwa saya sudah banyak lupa tentang kehidupan kuliah saya padahal baru berjarak 2 tahun bahkan saya lupa nama dan wajah sebagian besar teman saya saat kuliah memang sih selama 2 tahun ini saya cukup stres dan mulai menarik diri dari kehidupan sosial saya karena beberapa alasan tertentu apa memang kesehatan mental saya yang menyebabkanya sebenarnya ada rencana ke psikolog karena kondisi mental saya sangat mengganggu kehidupan keseharian tetapi saya masih ragu apa memang perlu ke psikolog atau;0;1;0;0;0
saya mau tanya kan sudah di jelaskan beberapa penyebab soal bipolar beberapa dari penyebab bipolar itu sering saya alami apakah saya sudah pasti bipolar atau tidak apa saya harus datang ke psikolog terimakasih;1;0;0;0;0
saya mau tanya belakangan ini sudah hampir seminggu mood aku enggak bisa di kontrol sampai-sampai aku enggak ajak mengomongkan orang rumah hal kecil pun aku bisa marah sampai berminggu minggu dan diam saja kadang juga aku merasa moodnya enggak bagus tiba-tiba sampai-sampai rasanya sedih tapi enggak tau kenapa penyebab dari semua itu kira-kira itu aku kenapa ya terimah kasih hanya itu yang mau saya;1;0;0;0;0
saya mau tanya saya akhir akhir ini tidak bisa tidur sampai mata merah badan lemas dan sakit lidah mati rasa kenapa ya kira kira;0;0;1;0;0
saya mau tanyakemaren saya nherjain skripsi 2 hari sampai masuk angin terus tambah saya konsumsi pil diet yang membuat badan saya gemetar dan lemas lalu setelah itu saya keaulitan tidur 3 hari saya sudah berobat sudah enak tidur tapi saya konsumsi mie instan pedas lagi dan jalan-jalan malam saya enggak bisa tidur lagi idah 5 hari pikiran saya sudah rileks tapi sulit tidur lelap apakah saya bisa sembuh bisa normal lagi seperti dulu apakah saya harus pergi ke dokter apa jika permasalahan nya seperti;0;0;1;0;0
saya orang yang antisosial dan kesepian saya sering halusinasi saya tau jika saya skizofrenia saya tau karena saya sangat kesepian di dalam kesepian karena pikiran saya kosong saya selalu mencari tau tentang diri saya sendiri setelah skizofrenia saya kena pba dan belakangan ini saya sangat sering lupa dalam waktu beberapa menit dan tak sadar apa yang saya lakukan pikiran selalu kosong dan kebingungansaya lupa semuannya terutama tentang kehidupan saya bingung harus melakukan apa barusan ibu memarahi saya dia bilang kenapa selalu sulit kalo di suruh saya mendengarnya tapi saya tidak marah atau tertekan karena itu sudah terlanjur jauh lewat saya mendengar tapi tidak sadar rasa nya seperti ibu memarahi orang lain dan saya langsung lupa yang di katakan ibu saya apa yang harus saya lakukan saya tidak sadar dengan kehidupan ini di tambah skizofrenia saya tak sadar ketikan saya ini hanya mimpi atau;0;0;0;0;1
saya selalu tidak bisa tidur pas malam hari tetapi kalau saya sudah tidur saya bisa tidur kira-kira 10 12 jam kalau belum segitu saya tidak bisa bangun apakah itu salah satu gejala;0;0;1;0;0
saya seorang siswa sama berumur 15th beberapa tahun terakhir saya punya keluhan yaitu sering berpikir berlebihan sering menangis mood tidak teratur dan juga saya pernah melakukan selfharm saya dari latar belakang keluarga yang broken home sewaktu kecil saya sering melihat kedua orang tua saya berkelahi didepan saya sampai akhirnya mereka berpisah menurut dokter apakah kejadian masalalu saya ada kaitannya dengan kondisi saya sekarang jujur saya sangat terganggu dengan kondisi saya sendiri dan juga mengganggu aktivitas sekolah saya saya harus bagaimana ditunggu tanggapannya;1;0;0;0;0
saya setyo saya baru smbuh dari covid 1 bulan yang lalu saya merasa tersiksa sekali karena sulit tidur baik siang maupun malam pikiran saya melayang enggak karu2an seperti trauma merasa ketakutan dll apalagi kalau dirumah kedatangan beberapa orang karena selalu trbayang bgaimana rsnya saat merasakan selama terinveksi covid bagaimana cara mengatasi agar saya bisa tidur nyenyak;0;0;1;0;0
saya sultan jadi saya mau bertanya umur saya 17 tahun tapi kenapa ya tinggi badan saya pernah diukur di sekolah waktu sampai itu 164 tetapi ketika diukur lagi dirumah ketika sudah sama kelas 2 jadi 160 menggunakan pengukur lingkar perut saya bingung mau meninggikan badan lagi tetapi susah ditambah lagi saya yang susah tidur dibawah jam 12 mungkin karena kebiasaan bermain game kali ya dan ketika jam 10 pagi tuh saya kadang mengantuk sekali dan ketika pulang dari sekola saya langsung tidur tapi saya selalu set time 30 menit tidur siang tapi ketika alarm sudah nyala itu saya sangat susah untuk mengendalikan badan jadi badan saya kayak matiin alarm sudah itu tidur lagi sampai jam 5 sore kayak aneh saja pertanyaanya dong apakah tinggi badan saya masih bisa tinggi atau mungkin sudah faktor orang tua karena ayah saya tinggi tapi ibu saya sangat pendek dan kenapa saya selalu mengantuk di siang hari terimakasih;0;0;1;0;0
saya telah men searching beberapa info mengenai penyakit skizofrenia saya membaca semua gejala gejalanya dan itu hampir semua dari gejalanya sedang saya rasakan sekarang sebaiknya saya mulai ke dokter atau bagaimana;0;0;0;0;1
saya tidur hanya 4 jam sehari dan itu pun saya bisa tertidur hanya di jam 12 siang saya ingin merubah pola tidur saya menjadi normal kembali soalnya setiap malam hari saya tidak bisa tertidur bagaimana solusinya agar saya bisa tidur malam lagi terimakasih;0;0;1;0;0
saya umur 24 tahun apakah tidak sengaja meminum beberapa jenis obat menyebabkan tidak bisa tidur bahkan resah awalnya saya sakit gigi kemudian meriang terus saya di kasih beberapa jenis obat mohon bantuannya;0;0;1;0;0
